loca_key_foo;Value is Bar
loading;Chargement
menu_continue;Reprendre Partie
menu_new;Nouvelle Partie
menu_new_game_na;Indisponible
menu_new_episode_1;Chapitre 1
menu_new_episode_2;Chapitre 2
menu_new_episode_3;Chapitre 3
episode_1_tooltip;Choisir chapitre 1
episode_2_tooltip;Choisir chapitre 2
episode_3_tooltip;Choisir chapitre 3
episode_end_episode_1;C'était le chapitre 1 !
episode_end_episode_2;C'était le chapitre 2 !
episode_end_episode_3;C'était le chapitre 3 !
menu_load;Charger Partie
menu_bonus;Bonus
menu_bonus_title;Bonus
menu_bonus_points;Points Bonus:
menu_bonus_item_credits;Crédits
menu_bonus_item_concept;Concept Art,galerie
menu_bonus_item_artwork;Artwork,galerie
menu_bonus_item_model;3D modèles,galerie
menu_bonus_item_inconcert;Le Corbeau, in Concert
menu_bonus_item_soundtrack;Bande Son
menu_bonus_item_credits_tooltip;Crédits
menu_bonus_item_concept_tooltip;Concept art galerie
menu_bonus_item_artwork_tooltip;Artwork galerie
menu_bonus_item_model_tooltip;3D modèles galerie
menu_bonus_item_inconcert_tooltip;Le Corbeau en Concert
menu_bonus_item_soundtrack_tooltip;Bande son
menu_bonus_gallery_concept_art_gallery;Concept art
menu_bonus_gallery_artworks;Artwork galerie
menu_bonus_gallery_3d_model_gallery;3D modèles
menu_bonus_gallery_next;Page suivante >
menu_bonus_gallery_previous;< Page précédente
bonus_audio_main_theme;The Raven Thème Principal
bonus_audio_zellner_im_zug;Aventure dans les Alpes
bonus_audio_ueberfall_im_museum;Cambriolage au Musée
bonus_audio_zellner_schiff_aussen;Journée ensoleillée en haute mer
bonus_audio_oehi_action;Le gendarme en action
bonus_audio_fahrender_zug;Train fou
bonus_audio_humpelnde_leiber;Corps flasques
bonus_audio_salonmusik_tag;Musique de Salon
bonus_audio_er_ist_zurueck;Il est de retour
bonus_audio_oehi_schiff_innen;Chasse aux indices
bonus_audio_bei_voller_fahrt;A pleine vitesse
bonus_audio_lauernde_bedrohung;La menace cachée
bonus_audio_the_raven_overture;L'ouverture du Corbeau
menu_settings;Réglages
menu_settings_input;Contrôles :
input_tooltip;Choisissez un périphérique
input_next_tooltip;Aller au périphérique suivant
input_previous_tooltip;Aller au périphérique précédent
menu_settings_resolution;Résolution :
resolution_tooltip;Ajuster la résolution
resolution_next_tooltip;Choisir la résolution suivante
resolution_previous_tooltip;Choisir la résolution précédente
menu_settings_quality;Qualité graphique :
quality_tooltip;Ajuster la qualité des graphismes
quality_next_tooltip;Choisir la qualité suivante
quality_previous_tooltip;Choisir la qualité précédente
menu_settings_speach;Volume voix :
speach_tooltip;Modifie le volume des voix
speach_next_tooltip;Augmente le volume des voix
speach_previous_tooltip;Réduit le volume des voix
menu_settings_sound;Volume bruitage :
sound_tooltip;Modifie le volume des bruitages
sound_next_tooltip;Augmente le volume des bruitages
sound_previous_tooltip;Réduit le volume des bruitages
menu_settings_music;Volume musique :
music_tooltip;Modifie le volume des musiques
music_next_tooltip;Augmente le volume des musiques
music_previous_tooltip;Réduit le volume des musiques
menu_settings_subtitles;Langue des sous-titres :
subtitles_tooltip;Choisir la langue des sous-titres
subtitles_next_tooltip;Aller à la langue suivante
subtitles_previous_tooltip;Aller à la langue précédente
menu_settings_spoken;Langue doublage :
spoken_tooltip;Choisir la langue des doublages
spoken_next_tooltip;Aller à la langue suivante
spoken_previous_tooltip;Aller à la langue précédente
menu_settings_input_classic; Classique
menu_settings_input_controller; Manette
menu_settings_lang_de;Allemand
menu_settings_lang_en;Anglais
menu_settings_lang_fr;Français
menu_settings_lang_off;Off
menu_settings_volume_off;Off
menu_settings_quality_low;Basse
menu_settings_quality_medium;Moyenne
menu_settings_quality_high;Haute
menu_settings_save;Sauvegarder les paramètres
menu_resume;Reprendre la partie
menu_save;Sauvegarder
menu_mainmenu;Menu Principal
menu_quit;Quitter le Jeu
menu_dialog_yes;Oui
menu_dialog_no;Non
menu_dialog_yes_tooltip;Accepter
menu_dialog_no_tooltip;Refuser
menu_dialog_overwrite;Voulez-vous vraiment écraser cette sauvegarde ?
menu_dialog_load;Voulez-vous vraiment charger une partie sauvegardée?\n La partie en cours sera perdu.
menu_dialog_mainmenu;Voulez-vous vraiment quitter le jeu ?\n Toute progression non sauvegardée sera perdue.
menu_dialog_start_new_game;Commencer une nouvelle partie écrasera\nla sauvegarde automatique. Continuer ?
menu_dialog_quit;Voulez-vous vraiment quitter le jeu ?
menu_back;Retour
ButtonBack_tooltip;Retour
ButtonPrev_tooltip;Image précédente
ButtonNext_tooltip;Image suivante
menu_start;Commencer une Partie
menu_continue_tooltip;Le jeu reprendra à partir de l'endroit où vous l'avez laissé la dernière fois.
menu_new_tooltip;Commencer une nouvelle partie.
menu_load_tooltip;Charger une partie sauvegardée.
menu_settings_tooltip;Modifiez les paramètres du jeu ici.
