loca_key_foo;Value is Bar
loading;Lade
menu_continue;Spiel fortsetzen
menu_new;Neues Spiel
menu_new_game_na;Nicht Verfügbar
menu_new_episode_1;Kapitel 1
menu_new_episode_2;Kapitel 2
menu_new_episode_3;Kapitel 3
episode_1_tooltip;Wähle das Kapitel 1
episode_2_tooltip;Wähle das Kapitel 2
episode_3_tooltip;Wähle das Kapitel 3
episode_end_episode_1;Das war Kapitel 1!
episode_end_episode_2;Das war Kapitel 2!
episode_end_episode_3;Das war Kapitel 3!
menu_load;Spielstand laden
menu_bonus;Extras
menu_bonus_title;Bonus Material
menu_bonus_points;Bonus Punkte:
menu_bonus_item_credits;Mitwirkende
menu_bonus_item_concept;Concept-Art,Galerie
menu_bonus_item_artwork;Artwork,Galerie
menu_bonus_item_model;3D-Modelle,Galerie
menu_bonus_item_inconcert;The Raven, in Concert
menu_bonus_item_soundtrack;Soundtrack
menu_bonus_item_credits_tooltip;Mitwirkende
menu_bonus_item_concept_tooltip;Concept-Art Galerie
menu_bonus_item_artwork_tooltip;Artwork Galerie
menu_bonus_item_model_tooltip;3D-Modelle Galerie
menu_bonus_item_inconcert_tooltip;The Raven in Concert
menu_bonus_item_soundtrack_tooltip;Die Musik des Spiels
menu_bonus_gallery_concept_art_gallery;Concept-Art
menu_bonus_gallery_artworks;Artwork Galerie
menu_bonus_gallery_3d_model_gallery;3D-Modelle
menu_bonus_gallery_next;Nächste Seite >
menu_bonus_gallery_previous;< Vorherige Site
bonus_audio_main_theme;The Raven Main Theme
bonus_audio_zellner_im_zug;Adventure in the Alps
bonus_audio_ueberfall_im_museum;Burglary in the Museum
bonus_audio_zellner_schiff_aussen;Sunny Day on the Open Sea
bonus_audio_oehi_action;Constable in Action
bonus_audio_fahrender_zug;Runaway Train
bonus_audio_humpelnde_leiber;Limp Bodies
bonus_audio_salonmusik_tag;Saloon Tune
bonus_audio_er_ist_zurueck;He’s back
bonus_audio_oehi_schiff_innen;Hunting for Clues
bonus_audio_bei_voller_fahrt;At full Speed
bonus_audio_lauernde_bedrohung;Lurking Menace
bonus_audio_the_raven_overture;The Raven Overture
menu_settings;Einstellungen
menu_settings_input;Eingabegerät :
input_tooltip;Wähle ein Eingabegerät
input_next_tooltip;Wechsel zum nächsten Eingabegerät
input_previous_tooltip;Wechsel zum vorherigen Eingabegerät
menu_settings_resolution;Bildschirm-Auflösung :
resolution_tooltip;Wähle eine Bildschirm-Auflösung
resolution_next_tooltip;Wechsel zur nächsten Auflösung
resolution_previous_tooltip;Wechsel zur vorherigen Auflösung
menu_settings_quality;Grafik-Qualität :
quality_tooltip;Wähle eine Grafik-Qualität
quality_next_tooltip;Wechsel zur nächsten Qualitätsstufe
quality_previous_tooltip;Wechsel zur vorherigen Qualitätsstufe
menu_settings_speach;Sprache Lautstärke :
speach_tooltip;Wähle die Lautstärke für die Sprache
speach_next_tooltip;Erhöhe die Lautstärke der Sprache
speach_previous_tooltip;Verringere die Lautstärke der Sprache
menu_settings_sound;Soundeffekte Lautstärke :
sound_tooltip;Wähle die Lautstärke für die Soundeffekte
sound_next_tooltip;Erhöhe die Lautstärke der Soundeffekte
sound_previous_tooltip;Verringere die Lautstärke der Effekte
menu_settings_music;Musik Lautstärke :
music_tooltip;Wähle die Lautstärke für die Musik
music_next_tooltip;Erhöhe die Lautstärke der Musik
music_previous_tooltip;Verringere die Lautstärke der Musik
menu_settings_subtitles;Untertitel-Sprache:
subtitles_tooltip;Wähle eine Sprache für die Untertitel
subtitles_next_tooltip;Wechsel zur nächsten Sprache
subtitles_previous_tooltip;Wechsel zur vorherigen Sprache
menu_settings_spoken;Audio-Sprache :
spoken_tooltip;Wähle eine Sprache für die Sprachausgabe
spoken_next_tooltip;Wechsel zur nächsten Sprache
spoken_previous_tooltip;Wechsel zur vorherigen Sprache
menu_settings_input_classic; Klassisch
menu_settings_input_controller; Gamepad
menu_settings_lang_de;Deutsch
menu_settings_lang_en;Englisch
menu_settings_lang_fr;French
menu_settings_lang_off;Aus
menu_settings_volume_off;Aus
menu_settings_quality_low;Niedrig
menu_settings_quality_medium;Mittel
menu_settings_quality_high;Hoch
menu_settings_save;Einstellungen speichern
menu_resume;Spiel fortsetzen
menu_save;Spiel speichern
menu_mainmenu;Zurück zum Hauptmenü
menu_quit;Spiel verlassen
menu_dialog_yes;Ja
menu_dialog_no;Nein
menu_dialog_yes_tooltip;Zustimmen
menu_dialog_no_tooltip;Ablehnen
menu_dialog_overwrite;Möchtest du den Speicherstand wirklich überschreiben?
menu_dialog_load;Möchtest du wirklich einen gespeicherten Spielstand laden?\nDer aktuelle Spielfortschritt geht dabei verloren.
menu_dialog_mainmenu;Möchtest du das Spiel wirklich verlassen?\nUngespeicherter Fortschritt geht dadurch verloren.
menu_dialog_start_new_game;Beim Starten eines neuen Spiels wird die\nAutosave Datei überschrieben. Fortfahren?
menu_dialog_quit;Möchtest du das Spiel wirklich beenden?
menu_back;Zurück
ButtonBack_tooltip;Zurück
ButtonPrev_tooltip;Voriges Bild
ButtonNext_tooltip;Nächstes Bild
menu_start;Spiel starten
menu_continue_tooltip;Das Spiel wird an der Stelle fortgesetzt, an der du es verlassen hast.
menu_new_tooltip;Startet ein neues Spiel.
menu_load_tooltip;Lädt einen zuvor gespeicherten Spielstand.
menu_settings_tooltip;Hier kannst du die Spieleinstellungen anpassen.
menu_quit_tooltip;Beendet das Spiel. Nicht gespeicherter Spielfortschritt geht verloren.
menu_bonus_tooltip;Hier kannst du dir Zusatzmaterial zum Spiel freischalten.
