characters_ermittler;Ermittler
characters_frauenstimme1;Frauenstimme1
characters_frauenstimme2;Frauenstimme2
characters_intro_wache;Intro_Wache
characters_intro_wache1;Intro_Wache1
characters_junge;Junge
characters_maennerstimme_1;Maennerstimme 1
characters_maennerstimme2;Maennerstimme2
characters_maennerstimme3;Maennerstimme3
characters_ohi;Ohi
characters_wachmann;Wachmann
texts_ermittler_top_a00_ermittler_fragespiel_runde1_bewacht_etwas_tseq_title;Il garde quelque chose.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_bewacht_etwas_tseq_st_1;Je pense que vous gardez quelque chose.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_bewacht_etwas_tseq_st_2;Oh vraiment ? Et que serait-ce donc ?
texts_ermittler_top_a00_ermittler_fragespiel_runde1_sucht_jemanden_tseq_title;Il cherche quelqu'un.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_sucht_jemanden_tseq_st_1;Je pense que vous êtes à la recherche de quelqu'un.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_sucht_jemanden_tseq_st_2_direction;disappointed
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_sucht_jemanden_tseq_st_2;Vous ne faites que deviner.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_sucht_jemanden_tseq_st_3;Si je cherchais quelqu'un, je ne passerais pas le voyage enfermé dans un wagon de marchandises, vous ne croyez pas ?
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_sucht_jemanden_tseq_st_4_direction;slightly ashamed
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_sucht_jemanden_tseq_st_4;Eh bien, cela semblerait indiquer que vous gardez quelque chose.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_sucht_jemanden_tseq_st_5;Et que serait-ce donc ?
texts_ermittler_top_a00_ermittler_fragespiel_runde1_urlaub_tseq_title;Il est en vacances.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_urlaub_tseq_st_1_direction;slightly sarcastic
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_urlaub_tseq_st_1;Je pense que nous pouvons exclure que vous êtes en vacances.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_urlaub_tseq_st_2_direction;strictly, upset
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_urlaub_tseq_st_2;Je n'ai pas de temps pour jouer et m'amuser !
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde1_urlaub_tseq_st_3;Alors ?
texts_ermittler_top_a00_ermittler_fragespiel_runde2_edelstein_tseq_title;Un bijou
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_edelstein_tseq_st_1_direction;played innocent
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_edelstein_tseq_st_1;Serait-il possible que ce soit... un bijou qui a fait un long et périlleux voyage?
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_edelstein_tseq_st_2;Vous ne faites que deviner. Vous ne pouvez pas savoir ce qu'il y a dans ce coffre-fort.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_edelstein_tseq_st_3;Mais si c'était le cas ?
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_edelstein_tseq_st_4;Alors je vous demanderez pourquoi le train ne grouille pas de policiers...
texts_ermittler_top_a00_ermittler_fragespiel_runde2_etwas_wichtiges_tseq_title;Peu importe ce qui est à l'intérieur du coffre-fort
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_etwas_wichtiges_tseq_st_1;Je ne pourrais pas vraiment pas le dire. Mais ça doit être très important.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_etwas_wichtiges_tseq_st_2;Pourquoi ça ?
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_etwas_wichtiges_tseq_st_3;Parce que VOUS êtes important. Ils ne vous auraient pas attribué l'affaire si c'était juste une bagatelle.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_etwas_wichtiges_tseq_st_4;"Supposons que nous transportons vraiment quelque chose de ""très important"" dans ce train. Et supposons que c'est vraiment mon travail qu'il arrive à bon port."
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_etwas_wichtiges_tseq_st_5;Alors pourquoi pas le train ne croule t-il pas sous les policiers ?
texts_ermittler_top_a00_ermittler_fragespiel_runde2_geldtransport_tseq_title;Des fonds
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_geldtransport_tseq_st_1;Hmm. Nous sommes en Suisse, un coffre-fort a été chargé à bord... C'est peut-être des fonds ?
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_geldtransport_tseq_st_2_direction;piqued played
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_geldtransport_tseq_st_2;Oh, voyons.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_geldtransport_tseq_st_3;Vous pensez vraiment que moi - moi et toutes ces personnes - serait là pour s'occuper d'un tas d'argent ? Et en Suisse de plus ?
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde2_geldtransport_tseq_st_4;Non... Alors qu'est-ce que je garde ?
texts_ermittler_top_a00_ermittler_fragespiel_runde3_falle_tseq_title;C'est un piège
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_falle_tseq_st_1_direction;surprised
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_falle_tseq_st_1;C'est... C'est un piège !
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_falle_tseq_st_2_direction;smiling
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_falle_tseq_st_2;Ha ! Vous avez une imagination débordante, je vous l'accorde !
texts_ermittler_top_a00_ermittler_fragespiel_runde3_keine_aufmerksamkeit_tseq_title;Pas éveiller l'attention
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_keine_aufmerksamkeit_tseq_st_1;Vous ne voulez pas éveiller l'attention.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_keine_aufmerksamkeit_tseq_st_2_direction;little impatient
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_keine_aufmerksamkeit_tseq_st_2;Evident. Mais pourquoi pas ?
texts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_title;Plus les hommes serait inutile
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_1;Il y a assez de policiers dans ce train comme ça. S'il y avait plus ils ne feraient que se gêner les uns les autres.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_2_direction;seriously
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_2;Je peux vous assurer que je bouclerais chaque siège dans toutes les voitures de ce train avec des policiers s'il s'agissait d'une question de dissuasion.
spokentexts_ermittler_top_a00_ermittler_fragespiel_runde3_nicht_noetig_tseq_st_3_direction;uncomprehendingly
