characters_araber;Araber
characters_arzt;Arzt
characters_ermittler;Ermittler
characters_junge;Junge
characters_ohi;Ohi
characters_pflegerin;Pflegerin
characters_wachmann;Wachmann
texts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_1_tseq_title;C'était une bombe.
spokentexts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_1_tseq_st_1;Il ne voulait pas vous faire peur. La réalité, c'est que c'était une bombe destinée pour le tuer avec le policier.
spokentexts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_1_tseq_st_2_direction;gets interrupted
spokentexts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_1_tseq_st_2;Mon dieu ! Une attaque ? Mais qui pourrait ...
spokentexts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_1_tseq_st_3_direction;interrupts
spokentexts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_1_tseq_st_3;Les investigations sont en cours. Nous devons d'abord faire sortir ce train en flamme du tunnel.
spokentexts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_1_tseq_st_4;Oh, bien sûr !
texts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_2_tseq_title;C'était bien des bonbonnes de gaz.
spokentexts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_2_tseq_st_1_direction;slightly arrogant
spokentexts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_2_tseq_st_1;Si l'inspecteur Legrand le dit, ce doit en être le cas, non ?
spokentexts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_2_tseq_st_2_direction;cold
spokentexts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_2_tseq_st_2;J'ai fait la guerre et ce n'était pas une petite explosion...
spokentexts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_2_tseq_st_3;Je doute que le wagon était plein à craquer de bonbonnes de gaz.
spokentexts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_2_tseq_st_5;Bien sûr !
texts_02_arzt_top_a02_arzt__hat_er_was_gesehen_antwort_3_tseq_title;Fuir.
texts_02_arzt_top_a02_arzt_andere_passagiere_tseq_title;Et pour les passagers ?
spokentexts_02_arzt_top_a02_arzt_andere_passagiere_tseq_st_1;Et pour les passagers ?
spokentexts_02_arzt_top_a02_arzt_andere_passagiere_tseq_st_2;Ils sont en état de choc, bien sûr.
spokentexts_02_arzt_top_a02_arzt_andere_passagiere_tseq_st_3;La panne d'électricité et l'arrêt brutal ont été effrayant. Mais l'explosion et la poussière...
spokentexts_02_arzt_top_a02_arzt_andere_passagiere_tseq_st_4;Tout le monde s'est précipité vers la sortie. J'ai aidé l'américaine Lady Westmacott a se mettre à l'abri.
spokentexts_02_arzt_top_a02_arzt_andere_passagiere_tseq_st_6;Ils attendent à l'extérieur du tunnel. Une entrée est bloquée par un incendie et l'autre semble s'être effondré.
texts_02_arzt_top_a02_arzt_gespraech_ende_tseq_title;Terminer la conversation
spokentexts_02_arzt_top_a02_arzt_gespraech_ende_tseq_st_1;Continuez à chercher dans le train. Je vais découpler le wagon.
spokentexts_02_arzt_top_a02_arzt_gespraech_ende_tseq_st_2;D'accord. Je vais découpler le wagon.
spokentexts_02_arzt_top_a02_arzt_gespraech_ende_tseq_st_3;Très bien.
sequences_02_arzt_top_a02_arzt_gespraech_ende_tseq#5;[The doctor nods to Ohi, then turns with the match in hand to leave.]
spokentexts_02_arzt_top_a02_arzt_gespraech_ende_tseq_st_4;Docteur ?
sequences_02_arzt_top_a02_arzt_gespraech_ende_tseq#7;[The doctor stays. Turns half to Ohi.]
spokentexts_02_arzt_top_a02_arzt_gespraech_ende_tseq_st_5;Pouvez-vous me donner quelques allumettes ?
spokentexts_02_arzt_top_a02_arzt_gespraech_ende_tseq_st_6;Oh, tout à fait.
sequences_02_arzt_top_a02_arzt_gespraech_ende_tseq#10;[The doctor turns around completely, gives Ohi some matches and tear through the box so that Ohi can fire up the matches.]
spokentexts_02_arzt_top_a02_arzt_gespraech_ende_tseq_st_7;Merci. Je vous retrouverai à l'extérieur.
spokentexts_02_arzt_top_a02_arzt_gespraech_ende_tseq_st_8;Faites vite !
sequences_02_arzt_top_a02_arzt_gespraech_ende_tseq#13;[The doctor turns around and leaves the Wagon.]
texts_02_arzt_top_a02_arzt_hat_er_was_gesehen_tseq_title;A t-il vu quelque chose ?
spokentexts_02_arzt_top_a02_arzt_hat_er_was_gesehen_tseq_st_1;Quelqu'un a t-il agit étrangement avant l'explosion ? Est-ce que quelqu'un a quitté son siège, par exemple ?
spokentexts_02_arzt_top_a02_arzt_hat_er_was_gesehen_tseq_st_2;J'étais le seul dans le train qui n'était pas assis lorsque le wagon a explosé. Dieu merci ! Sinon, j'aurais été pris dans l'explosion.
spokentexts_02_arzt_top_a02_arzt_hat_er_was_gesehen_tseq_st_3_direction;slightly challenging
spokentexts_02_arzt_top_a02_arzt_hat_er_was_gesehen_tseq_st_3;Vous avez certainement eu de la chance.
spokentexts_02_arzt_top_a02_arzt_hat_er_was_gesehen_tseq_st_4_direction;cold
spokentexts_02_arzt_top_a02_arzt_hat_er_was_gesehen_tseq_st_4;Oui peut-être.
spokentexts_02_arzt_top_a02_arzt_hat_er_was_gesehen_tseq_st_5;Que s'est-il passé ? L'inspecteur a dit quelque chose à propos de bonbonnes de gaz qui auraient explosé ?
texts_02_arzt_top_a02_arzt_was_tut_er_hier_tseq_title;Qu'est-ce qu'il fait ici ?
spokentexts_02_arzt_top_a02_arzt_was_tut_er_hier_tseq_st_1_direction;slightly suspicious
spokentexts_02_arzt_top_a02_arzt_was_tut_er_hier_tseq_st_1;Que faites-vous ici, docteur ?
spokentexts_02_arzt_top_a02_arzt_was_tut_er_hier_tseq_st_2;Qu'est-ce que faites vous ici exactement ?
spokentexts_02_arzt_top_a02_arzt_was_tut_er_hier_tseq_st_3;Pourquoi n'êtes-vous en train d'attendre à l'extérieur avec les autres passagers ?
spokentexts_02_arzt_top_a02_arzt_was_tut_er_hier_tseq_st_4;Legrand m'a demandé de vérifier s'il y avait encore des passagers dans le train.
spokentexts_02_arzt_top_a02_arzt_was_tut_er_hier_tseq_st_5_direction;little suspicious
spokentexts_02_arzt_top_a02_arzt_was_tut_er_hier_tseq_st_5;Vraiment ?
spokentexts_02_arzt_top_a02_arzt_was_tut_er_hier_tseq_st_6;Il y a personne, sauf moi... et vous.
spokentexts_02_arzt_top_a02_arzt_was_tut_er_hier_tseq_st_7;Excellent. Alors... Je vais continuer à chercher vers l'avant.
sequences_02_arzt_top_a02_arzt_was_tut_er_hier_tseq#10;[The doctor nods toward the high-capacity wagon .]
texts_a01_grossraumwagon_herztabletten_mo_inventar_1;Comprimés
