loca_key_foo;Value is Bar
text_quest01_slot01_titel;Legrand überzeugen
text_quest01_slot01_content;Ich muss Legrand überzeugen, dass ich nützlich sein kann. Wenn ich dem Professor helfe die Tür zu öffnen, wäre das ein guter Anfang.
text_quest01_slot02_content;Wenn ich die Geldbörse der Baronin wiederbeschaffe, könnte mir das Pluspunkte bei Legrand einbringen.
text_quest02_slot01_titel;Kabinentür des Professors öffnen
text_quest02_slot01_content;Die Tür von Professor Luciens Kabine wurde verschlossen, wohlmöglich sogar von innen. Ich muss einen Weg finden das Schloss zu öffnen.
text_quest02_slot02_content;Der Werkzeugkoffer könnte mir beim Öffnen von Professor Luciens Kabinentür helfen. Mir fehlt nur ein Schlüssel.
hint_quest02_slot02;Das Bahnpersonal müsste doch Zugang zu dem Schlüssel haben.
text_quest02_slot03_content;Ich muss die verschlossene Schublade hinter der Bar aufbekommen. Vielleicht enthält sie einen Schlüssel für die Kabinentüren.
hint_quest02_slot03;Vielleicht haben die anderen Passagiere eine Idee, wie ich die Schublade aufbekomme.
text_quest03_slot01_titel;Fingerabdrücke untersuchen
hint_quest03_slot01;Vielleicht kann ich die Fingerabdrücke am Fenster in der Kabine des Archäologen irgendwie untersuchen!
text_quest04_slot01_titel;Brieftasche der Baronin finden
text_quest04_slot01_content;Die Baronin hat mich beauftragt, ihre Geldbörse zu finden. Nicht gerade das Verbrechen des Jahrhunderts – wenn es denn ein Verbrechen ist. Aber es ist meine Aufgabe als Polizist.
hint_quest04_slot01;Ich sollte die anderen Passagiere befragen, ob sie etwas über den Verbleib der Geldbörse wissen.
text_quest04_slot02_content;Die Gesellschafterin von Lady Westmacott meinte, dass ihr Sohn Matt mir vielleicht weiterhelfen kann. Wo steckt der Schlingel bloß?
text_quest04_slot03_content;Matt ist beleidigt, weil ich ihm seine Pistole weggenommen habe. Würde er mit mir reden, könnte ich ihn nach der Geldbörse der Baronin fragen. 
