characters_araber;Araber_verkleidet
characters_archaeologe;Archäologe
characters_arzt;Arzt
characters_baronin;Baronin
characters_butler;Butler
characters_ermittler;Ermittler
characters_geiger;Geiger
characters_junge;Junge
characters_ohi;Ohi
characters_pflegerin;Pflegerin
characters_schriftstellerin;Schriftstellerin
characters_wachmann;Wachmann
texts__top_a01_butler_goodbye_tseq_title;Say goodbye
spokentexts_arzt_top_a01_arzt_auf_wiedersehen_tseq_st_1;Oh, dear! Something just occurred to me.
spokentexts_arzt_top_a01_arzt_auf_wiedersehen_tseq_st_2;I'll come back later.
spokentexts__top_a01_butler_goodbye_tseq_st_3;Certainly, sir.
spokentexts__top_a01_butler_goodbye_tseq_st_4;Goodbye, James. Or... Alfred.
spokentexts__top_a01_butler_goodbye_tseq_st_5;Goodbye, James.
spokentexts__top_a01_butler_goodbye_tseq_st_6;Goodbye, sir.
texts_archaeologe_mo_ex_1;Examine Professor Lucien
texts_archaeologe_mo_talk_mit_1-2;Talk to Professor Lucien
texts_archaeologe_mo_talk_mit_2;Speak to Professor Lucien
texts_a01_archaeologe_top_a01_archaeologe_auf_wiedersehen_tseq_title;Say goodbye
spokentexts_a01_archaeologe_top_a01_archaeologe_auf_wiedersehen_tseq_st_1;Godspeed, Professor Lucien.
spokentexts_a01_archaeologe_top_a01_archaeologe_auf_wiedersehen_tseq_st_2;Thanks.
spokentexts_a01_archaeologe_top_a01_archaeologe_auf_wiedersehen_tseq_st_3;Professor.
sequences_a01_archaeologe_top_a01_archaeologe_auf_wiedersehen_tseq#5;[Ohi briefly nods, the professor does not react.]
sequences_a01_archaeologe_top_a01_archaeologe_auf_wiedersehen_tseq#6;[Ohi leaves the cabin. Outside on the corridor of the Wagon it goes on.]
texts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_title;Burglary at the museum.
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_1;So you were, shall we say, an eyewitness to the burglary two days ago?
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_2;If you work in the British Museum, then you must have experienced the burglary first-hand!
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_3_direction;nervous
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_3;N-no. I wouldn't say that.
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_4_direction;surprised
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_4;Oh no?
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_5;There... was a lot of commotion. But I didn't really pay much attention to it.
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_6_direction;curious, incredulous
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_6;There was a break-in in your museum and it didn't concern you?
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_7_direction;trying, nervously
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_7;Well... Let's just say that nothing that's happened in the last 2000 years concerns me. He he.
texts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_title;Inspector Legrand
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_1;Whatever you say.
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_2;Just a moment, please.
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_3;The famous Inspector Legrand is on the train. I imagine you know him?
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_5_direction;lying
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_5;Err. No. Should I?
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_6;You don't know him?
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_7_direction;something sneaky
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_7;And you also don't know what he's doing here?
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_8_direction;nervous, lying
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_8;No! W-why should I?
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_9;Just a thought... You're a representative of the British Museum... There's a guarded safe on the train...
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_10;I'm sorry. I don't know what you're trying to imply.
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_11;And now, please excuse me.
texts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_title;He knows Legrand
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_1;And Inspector Legrand? Whom you allegedly don't know?
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_2;That's not quite true, is it?
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_3;I believe you and the Inspector do know each other.
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_4_direction;surprised
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_4;What makes you think that?
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_5;It seems like the two of you are running a haulage company specializing in safes.
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_7;I won't comment on that. It's a matter of international importance.
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_10;Tell me, Professor... Would you happen to have a key in your briefcase?
