characters_araber;Araber
characters_junge;Junge
characters_ohi;Ohi
texts__mo_use_3;Use the wooden pistol with the tap
texts_a03_kabine_archaeologe_waschbecken_mo_ex_1;Examine the sink
texts_a03_kabine_archaeologe_waschbecken_mo_use_1__2;Turn on the tap
texts_a03_kabine_archaeologe_waschbecken_mo_used_mit_handtuch_1__2;Hold the towel under the running water
spokentexts__use_mit_holzpistole_st_1;That would only work if it were a water pistol.
spokentexts_a03_kabine_archaeologe_waschbecken_ex_1_st_1;When the high and mighty travel, they travel in style.
sequences_a03_kabine_archaeologe_waschbecken_use_1#1;[Ohi turns on the water tap, allowing the water to run shorts, the tap again.]
spokentexts_a03_kabine_archaeologe_waschbecken_use_1_st_1;The tanks don't seem to be damaged. The water is still running.
sequences_a03_kabine_archaeologe_waschbecken_use_2#1;[Öhi turns the water on, makes it run briefly, then put it off again.]
sequences_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_1#2;[Ohi turns on the water tap, then takes the towel from his shoulders and keeps it under the water.]
spokentexts_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_1_st_1;It's soaking up the cold water.
sequences_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_1#4;[Ohi puts the wet towel around his neck, just shudders and turns the water out.]
spokentexts_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_1_st_2_direction;cold, uncomfortable
spokentexts_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_1_st_2;Brrr.
sequences_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_1#6;[From now on, the towel that Ohi has be around his neck, wet.]
spokentexts_a03_kabine_archaeologe_waschbecken_used_mit_handtuch_2_st_1;No. The towel is already wet enough.
texts_a03_kabine_archaeologe_eckschrank_mo_ex_2;Explore the corner cupboard
texts_a03_kabine_archaeologe_eckschrank_mo_use_1__3;Open the corner cupboard
spokentexts_a03_kabine_archaeologe_eckschrank_ex_1_st_1;These compartments are like little hotel rooms. You could spend days or even weeks in here quite happily.
spokentexts_a03_kabine_archaeologe_eckschrank_ex_2_st_1;There's a small sink under the mirror. Below that is a small cupboard where I'd expected to find a towel. No such luck, I'm afraid.
sequences_a03_kabine_archaeologe_eckschrank_use_1#1;[Ohi opens the corner cupboard.]
texts_a03_kabine_archaeologe_flaschen_mo_ex_1;Drink a glass of gin
spokentexts_a03_kabine_archaeologe_flaschen_ex_1_st_1_direction;sarcastic
spokentexts_a03_kabine_archaeologe_flaschen_ex_1_st_1;My situation isn't THAT desperate.
texts_a03_kabine_archaeologe_koffer_mo_ex_1;Examine the suitcase
texts_a03_kabine_archaeologe_koffer_mo_use_1;Search the suitcase
spokentexts_a03_kabine_archaeologe_koffer_ex_1_st_1;Professor Lucien's suitcase.
spokentexts_a03_kabine_archaeologe_koffer_ex_1_st_2;Unlike the leather bag, he left it behind when he fled the train with the other passengers.
spokentexts_a03_kabine_archaeologe_koffer_use_1_st_1;I don't think there's anything interesting in it. Whatever the professor is hiding from me, it's in his leather bag.
texts_a03_kabine_archaeologe_spiegel_mo_ex_1;Look into the mirror
sequences_a03_kabine_archaeologe_spiegel_ex_1#1;[Ohi looks in the mirror.]
spokentexts_a03_kabine_archaeologe_spiegel_ex_1_st_1;What have you got yourself into?
spokentexts_a03_kabine_archaeologe_spiegel_ex_1_st_2;Couldn't you have just let it be?
spokentexts_a03_kabine_archaeologe_spiegel_ex_1_st_3;But no, of course not. And now you're here. On an out-of-control train in the Alps, responsible for the life of a child who'll be doomed without you.
spokentexts_a03_kabine_archaeologe_spiegel_ex_1_st_4;What are you waiting for, eh? Time to save the day!
texts_a03_kabine_archaeologe_tuer_zum_grossraumwagen_mo_leave_1;Go outside
sequences_a03_kabine_archaeologe_leave_1#1;[Ohi is leaving the cabin without the ax]
sequences_a03_kabine_archaeologe_leave_2#1;[Ohi takes the Axe and leaves the cabin]
sequences_a03_kabine_archaeologe_seq_ohi_betritt_die_kabine_mit_axt#0;[Ohi enters the cabin with an axe, and puts it then next  to the cabin door]
sequences_a03_kabine_archaeologe_seq_ohi_betritt_die_kabine_ohne_axt#0;[Ohi enters the cabin without an ax]
sequences_a03_kabine_archaeologe_tuer_zum_grossraumwagen_leave_1#1;[Ohi leaves the cabin.]
texts_a03_kabine_baronin_handtuch_mo_ex_1;Examine the towel
