characters_araber;Araber_verkleidet
characters_archaeologe;Archäologe
characters_arzt;Arzt
characters_baronin;Baronin
characters_butler;Butler
characters_ermittler;Ermittler
characters_geiger;Geiger
characters_junge;Junge
characters_ohi;Ohi
characters_pflegerin;Pflegerin
characters_schriftstellerin;Schriftstellerin
characters_wachmann;Wachmann
texts__top_a01_butler_goodbye_tseq_title;Dire au revoir
spokentexts_arzt_top_a01_arzt_auf_wiedersehen_tseq_st_1;Oh, ma chère ! Quelque chose vient d'avoir lieu pour moi.
spokentexts_arzt_top_a01_arzt_auf_wiedersehen_tseq_st_2;Je reviendrai plus tard.
spokentexts__top_a01_butler_goodbye_tseq_st_3;Certainement, monsieur.
spokentexts__top_a01_butler_goodbye_tseq_st_4;Au revoir, James. Ou... Alfred.
spokentexts__top_a01_butler_goodbye_tseq_st_5;Au revoir, James.
spokentexts__top_a01_butler_goodbye_tseq_st_6;Au revoir, monsieur.
texts_archaeologe_mo_ex_1;Examiner le Professeur Lucien
texts_archaeologe_mo_talk_mit_1-2;Parler au Professeur Lucien
texts_archaeologe_mo_talk_mit_2;Parler au Professeur Lucien
texts_a01_archaeologe_top_a01_archaeologe_auf_wiedersehen_tseq_title;Dire au revoir
spokentexts_a01_archaeologe_top_a01_archaeologe_auf_wiedersehen_tseq_st_1;Bon voyage, professeur Lucien.
spokentexts_a01_archaeologe_top_a01_archaeologe_auf_wiedersehen_tseq_st_2;Merci.
spokentexts_a01_archaeologe_top_a01_archaeologe_auf_wiedersehen_tseq_st_3;Professeur.
sequences_a01_archaeologe_top_a01_archaeologe_auf_wiedersehen_tseq#5;[Ohi briefly nods, the professor does not react.]
sequences_a01_archaeologe_top_a01_archaeologe_auf_wiedersehen_tseq#6;[Ohi leaves the cabin. Outside on the corridor of the Wagon it goes on.]
texts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_title;Cambriolage au musée.
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_1;Vous étiez donc, dirons-nous, un témoin oculaire du cambriolage il y a deux jours ?
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_2;Si vous travaillez au British Museum, alors vous avez dû être au première loge !
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_3_direction;nervous
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_3;N-non. Je voulais pas dire ça.
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_4_direction;surprised
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_4;Ah non ?
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_5;Il y avait... beaucoup de d'aller et venue. Mais je n'y ai pas vraiment fait attention.
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_6_direction;curious, incredulous
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_6;Il y a eu une effraction dans votre musée et cela ne vous concerne pas ?
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_7_direction;trying, nervously
spokentexts_a01_archaeologe_top_a01_archaeologe_einbruch_im_mueseum_tseq_st_7;Eh bien... C'est simplement que tout ce qui ne s'est pas produit il y a 2000 ne me concerne pas. Hé hé.
texts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_title;Inspecteur Legrand
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_1;Peu importe.
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_2;Un instant, s'il vous plait.
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_3;Le fameux Inspecteur Legrand est dans le train. J'imagine que vous le connaissez ?
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_5_direction;lying
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_5;Euhh. Non. Je devrais ?
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_6;Vous le connaissez pas ?
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_7_direction;something sneaky
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_7;Et vous ne savez pas non plus ce qu'il fait ici ?
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_8_direction;nervous, lying
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_8;No! P-pourquoi le devrais-je ?
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_9;C'est juste que... Vous représentez le British Museum... il y a un coffre-fort dans le train...
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_10;Je suis désolé. Je ne comprends pas ce que vous sous-endentez.
spokentexts_a01_archaeologe_top_a01_archaeologe_ermittler_tseq_st_11;Maintenant, veuillez m'excuser.
texts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_title;Il connait Legrand
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_1;Et l'inspecteur Legrand ? Que vous prétendez ne pas connaitre ?
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_2;Ce n'est pas tout à fait vrai, n'est-ce pas ?
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_3;Je crois que vous et l'inspecteur, vous vous connaissez très bien.
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_4_direction;surprised
spokentexts_a01_archaeologe_top_a01_archaeologe_hat_mit_ermittler_zu_tun_tseq_st_4;Qu'est-ce qui vous fait penser cela ?
