loca_key_foo;Value is Bar
text_quest01_slot01_titel;Convaincre Legrand
text_quest01_slot01_content;Je dois convaincre Legrand que je peux être utile. Aider le professeur pour ouvrir sa porte serait un bon début...
text_quest01_slot02_content;Retrouver le sac à main de la Baronne devrait me faire gagner des points avec Legrand.
text_quest02_slot01_titel;Ouvrir la porte du professeur
text_quest02_slot01_content;La porte du compartiment du professeur Lucien est verrouillé - de l'intérieur. Je dois trouver un moyen d'ouvrir la serrure.
text_quest02_slot02_content;La boîte à outils peut être utile pour ouvrir la porte du professeur Lucien. J'ai juste besoin de sa clé.
hint_quest02_slot02;Les employés doivent avoir accès à la clé.
text_quest02_slot03_content;Je dois trouver un moyen d'ouvrir le tiroir verrouillé derrière le bar. Peut-être qu'il y a une clé pour les compartiments à l'intérieur.
hint_quest02_slot03;Peut-être que les autres passagers ont une idée sur la manière d'ouvrir le tiroir.
text_quest03_slot01_titel;Analyser les empreintes
hint_quest03_slot01;Je peux peut-être analyser les empreintes sur la fenêtre de la cabine de l'archéologue !
text_quest04_slot01_titel;Trouver le sac de la baronne
text_quest04_slot01_content;La baronne m'a chargé de trouver son sac à main. C'est pas le crime du siècle, si on peut parler de crime. Mais c'est mon travail en tant que policier.
hint_quest04_slot01;Je dois demander aux autres passagers s'ils savent où le sac pourrait être.
text_quest04_slot02_content;L'accompagnatrice de Lady Westmacott a déclarée que son fils Matt pourra peut-être m'aider. Mais où est ce petit bonhomme ?
text_quest04_slot03_content;Matt est en colère parce que j'ai pris son pistolet. S'il voulait bien me parler, je pourrais lui poser des questions sur le sac de la baronne.
hint_quest04_slot03;Je ne peux pas lui rendre son pistolet, mais peut-être qu'il y a une autre façon de lui remonter le moral.
text_quest04_slot04_content;Matt a vu le violoniste ramasser quelque chose sur le quai...
text_quest04_slot05_content;Le violoniste affirme qu'il ne sait rien sur le sac. Si seulement je pouvais jeter un oeil à l'intérieur de son étui à violon...
hint_quest04_slot05;Je peux peut-être le distraire, de sorte qu'il laisse son étui à violon sans surveillance.
text_quest05_slot01_titel;Découpler le wagon de marchandises
text_quest05_slot01_content;Je dois découpler le wagon de marchandises avant que la fumée de ce tunnel ne nous étouffe.
text_quest05_slot02_content;Je ne peux pas me pencher sur le mécanisme de couplage dans l'obscurité. J'ai besoin de plus de lumière !
text_quest05_slot03_content;Les allumetees ne marcheront pas - J'ai besoin d'une meilleure source de lumière.
hint_quest05_slot03;Je devrais me faire une torche avec quelque chose.
text_quest05_slot04_content;La torche ne brûle pas de manière assez lumineuse et elle s'éteint aux moindres mouvements. J'ai besoin d'une plus grosse flamme.
hint_quest05_slot04;Il n'y aurait pas de la cire, de l'huile ou quoi que ce soit du même genre dans le coin ?
text_quest06_slot01_titel;Parler à Matt
text_quest06_slot01_content;J'ai trouvé Matt, mais il est terrifié. Je dois le réconforter.
hint_quest06_slot01;Si Matt a l'impression qu'il peut se défendre, il devrait se calmer.
text_quest06_slot02_titel;Découpler la locomotive
text_quest06_slot02_content;La locomotive ne s'arrêtera pas toute seule et je ne peux pas entrer dans la cabine à cause de l'incendie.
text_quest06_slot03_content;La porte est trop chaude pour être touchée avec mes mains nues. J'ai besoin de trouver quelque chose pour me protéger de la chaleur.
text_quest06_slot04_content;La fumée et les cendres sont importante. Je dois protéger mon visage.
text_quest07_slot01_titel;Monter à bord
text_quest07_slot01_content;Legrand ne veut pas me laisser monter à bord. Je dois trouver un moyen de venir.
hint_quest07_slot01;Je dois jeter un bon coup d'oeil autour de la jetée.
text_quest07_slot02_content;La malle suspecte que j'ai remarqué alors qu'ils étaient en train d'être chargé sur le navire doit être dans la soute quelque part. Est-ce comme ça que le Corbeau est monté à bord ?
text_quest08_slot01_titel;Se libérer
text_quest08_slot01_content;Qui m'a assommé et m'a ligoté ? Et plus important encore : comment puis-je me libérer ?
hint_quest08_slot01;Je suis peut-être ligoté pour le moment, mais cela ne veut pas dire que je ne peux pas atteindre les objets à proximité...
text_quest08_slot02_content;Quelqu'un semble avoir tiré sur une caisse. Je pense que la balle est toujours coincé dans le bois, mais je ne peux pas la retirer avec mes doigts.
text_quest08_slot03_content;Je ne peux pas ouvrir la porte à mains nues. J'ai besoin d'un outil quelconque.
text_quest08_slot04_content;Le navire est partit alors que j'étais inconscient - Je suis officiellement un passager maintenant...
text_quest08_slot05_titel;Chasse du Corbeau
text_quest08_slot05_content;Une silhouette vêtu de noir a été aperçu sur le toit. Pourrait-elle être le Corbeau ?
hint_quest08_slot05;Je devrais jeter un coup d'oeil à bâbord.
text_quest09_slot01_titel;Qui est le meurtrier ?
text_quest09_slot01_content;Toujours aucun suspect pour l'assassinat de la baronne. Je vais voir si je peux obtenir des informations auprès des autres passagers.
text_quest09_slot02_content;Je suis à la recherche d'indices qui pourraient nous mener au tueur.
hint_quest09_slot02;Peut-être que le coup de feu que j'ai entendu dans la soute est lié à l'assassinat.
text_quest09_slot03_content;Legrand m'a donné la permission de fouiller la cabine de la baronne.
hint_quest09_slot03;Je dois fouiller plus minutieusement la cabine pour trouver des indices.
text_quest09_slot04_content;Je pense qu'il y a plus que des plumes coincées dans le vase, mais ma main est trop grande.
text_quest09_slot05_content;La tache de sang sur le matelas semble étrange.
hint_quest09_slot05;Si je prends un échantillon de sang, je peux l'examiner plus en détail.
